Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Tian Guan Cifu (Heaven Official's Blessing: Tian Guan Ci Fu),9.05,6022,8,1579,"13,253","1,305",Novel,6,Unknown,Finished,"Feb  4, 2021 to Mar  31, 2022","['Action', 'Adventure', 'Boys Love', 'Supernatural']",['Historical'],,,Mo Xiang Tong Xiu (Story),5,"[3, 1, 1]"
Omniscient Reader's Viewpoint,9.02,7701,11,1126,"17,527","1,653",Novel,20,105,Finished,"Jan  20, 2022 to Sep  11, 2023","['Action', 'Adventure', 'Fantasy']",['Urban Fantasy'],,,sing N song (Story),20,"[19, 1, 0]"
Guimi Zhi Zhu (Lord of Mysteries),8.97,2222,15,3772,"5,764",487,Novel,18,366,Finished,"May  1, 2020 to Aug  1, 2023","['Action', 'Mystery', 'Supernatural', 'Suspense']",[],,,Ai Qianshui de Wuzei (Story),15,"[14, 0, 1]"
Mo Dao Zu Shi (Grandmaster of Demonic Cultivation: Mo Dao Zu Shi),8.91,4202,20,2549,"8,448",714,Novel,4,27,Finished,"Dec  8, 2016","['Action', 'Adventure', 'Boys Love', 'Mystery', 'Supernatural']",['Historical'],,,Mo Xiang Tong Xiu (Story),3,"[1, 1, 1]"
Mikkakan no Koufuku (Three Days of Happiness),8.88,10871,25,557,"33,121","1,402",Novel,1,15,Finished,"Dec  25, 2013",['Drama'],[],,,"Miaki, Sugaru (Story)",19,"[16, 1, 2]"
Kimi no Suizou wo Tabetai (I Want to Eat Your Pancreas),8.65,3770,70,2459,"8,699",451,Novel,1,10,Finished,"Jun  17, 2015","['Drama', 'Romance']",[],,,"Sumino, Yoru (Story)",4,"[4, 0, 0]"
Ginga Eiyuu Densetsu (Legend of the Galactic Heroes),8.62,2131,86,2002,"10,408",307,Novel,10,94,Finished,Nov  1982 to Nov  1987,"['Action', 'Adventure', 'Drama', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']",,,"Tanaka, Yoshiki (Story), Katou, Naoyuki (Art), Kamoshita, Yukihisa (Art)",6,"[5, 1, 0]"
Koten-bu Series,8.61,3696,91,1046,"18,873",623,Novel,Unknown,Unknown,Publishing,"Oct  31, 2001 to ?","['Adventure', 'Mystery']",['School'],,,"Yonezawa, Honobu (Story)",6,"[5, 0, 1]"
Solo Leveling,8.42,4615,200,2358,"9,026","1,773",Novel,13,150,Finished,"Nov  4, 2016 to Oct  27, 2017","['Action', 'Adventure', 'Fantasy']","['Adult Cast', 'Urban Fantasy']",,,Chugong (Story),1,"[1, 0, 0]"
No.6,8.38,5672,228,886,"21,763",968,Novel,9,43,Finished,"Oct  10, 2003 to Jun  14, 2011","['Action', 'Mystery', 'Sci-Fi']",[],,,"Asano, Atsuko (Story)",4,"[4, 0, 0]"
Shousetsu Kimi no Na wa. (Your Name.),8.34,3229,267,2728,"7,955",147,Novel,1,8,Finished,"Jun  18, 2016","['Drama', 'Supernatural']",['Love Status Quo'],,,"Shinkai, Makoto (Story)",3,"[1, 1, 1]"
Death Note Another Note: Los Angeles BB Renzoku Satsujin Jiken (Death Note Another Note: The Los Angeles BB Murder Cases),8.30,17076,301,498,"36,428",906,Novel,1,7,Finished,"Aug  1, 2006",['Mystery'],[],,,"Obata, Takeshi (Art), NISIO, ISIN (Story)",9,"[8, 1, 0]"
NHK ni Youkoso! (Welcome to the N.H.K.),8.30,1696,307,3880,"5,596",263,Novel,1,12,Finished,"Jan  28, 2002","['Comedy', 'Drama', 'Romance']",['Psychological'],,,"Takimoto, Tatsuhiko (Story)",5,"[3, 1, 1]"
"Mata, Onaji Yume wo Miteita (I Had That Same Dream Again)",8.23,1147,390,5607,"3,745",112,Novel,1,11,Finished,"Feb  17, 2016",['Drama'],[],,,"Sumino, Yoru (Story)",4,"[4, 0, 0]"
Urasekai Picnic (Otherside Picnic),8.22,657,404,6817,"3,010",163,Novel,Unknown,Unknown,Publishing,"Feb  23, 2017 to ?","['Adventure', 'Fantasy', 'Mystery', 'Suspense']","['Isekai', 'Survival']",,,"Miyazawa, Iori (Story), shirakaba (Art)",3,"[2, 1, 0]"
NieR:Automata,8.21,2106,418,1712,"12,247",258,Novel,3,30,Finished,"Aug  5, 2017 to Jul  27, 2018","['Action', 'Fantasy', 'Sci-Fi']",[],,,"Eishima, Jun (Story), Yoko, Taro (Story)",3,"[2, 1, 0]"
Ren Zha Fanpai Zijiu Xitong (The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong),8.19,1707,440,6096,"3,418",249,Novel,3,Unknown,Finished,"Jul  24, 2017","['Boys Love', 'Drama', 'Supernatural']","['Historical', 'Isekai', 'Mythology', 'Reincarnation']",,,Mo Xiang Tong Xiu (Story),2,"[1, 1, 0]"
No.6 Beyond,8.14,940,527,4449,"4,862",31,Novel,1,4,Finished,"Nov  22, 2012","['Action', 'Drama', 'Mystery', 'Sci-Fi']",[],Josei,,"Asano, Atsuko (Story)",1,"[1, 0, 0]"
Ookami Kodomo no Ame to Yuki (Wolf Children: Ame & Yuki),8.13,926,533,8092,"2,439",41,Novel,1,4,Finished,"Jun  22, 2012","['Drama', 'Fantasy', 'Slice of Life']",['Childcare'],,,"Hosoda, Mamoru (Story)",1,"[1, 0, 0]"
Byousoku 5 Centimeter (5 Centimeters per Second),8.03,2466,685,3715,"5,865",191,Novel,1,3,Finished,"Nov  16, 2007","['Drama', 'Romance']",[],,,"Shinkai, Makoto (Story)",3,"[3, 0, 0]"
Watashi no Shiawase na Kekkon (My Happy Marriage),8.02,738,709,4538,"4,737",125,Novel,Unknown,Unknown,Publishing,"Jan  15, 2019 to ?","['Drama', 'Fantasy', 'Romance']","['Adult Cast', 'Historical']",,,"Agitogi, Akumi (Story)",0,"[0, 0, 0]"
Shinsekai yori,7.98,484,794,10376,"1,777",40,Novel,2,37,Finished,"Jan  25, 2008","['Drama', 'Mystery', 'Sci-Fi', 'Supernatural']",[],,,"Kishi, Yusuke (Story)",2,"[2, 0, 0]"
"Yoru wa Mijikashi Aruke yo Otome (The Night Is Short, Walk on Girl)",7.92,321,928,10794,"1,684",19,Novel,1,4,Finished,"Nov  29, 2006","['Comedy', 'Romance']",[],,,"Nakamura, Yusuke (Art), Morimi, Tomihiko (Story)",0,"[0, 0, 0]"
Solo Leveling Side Story,7.90,1697,996,6461,"3,197",21,Novel,1,12,Finished,"Apr  18, 2018","['Action', 'Adventure', 'Fantasy']","['Adult Cast', 'Urban Fantasy']",,,Chugong (Story),2,"[0, 1, 1]"
Lout of Count's Family,7.88,255,1054,19180,726,86,Novel,Unknown,Unknown,Publishing,"Aug  25, 2022 to ?",['Fantasy'],"['Isekai', 'Reincarnation']",,,"Yu, Ryeo Han (Story)",0,"[0, 0, 0]"
Kagami no Kojou (Lonely Castle in the Mirror),7.87,245,1057,12231,"1,419",12,Novel,1,13,Finished,"May  11, 2017","['Drama', 'Fantasy', 'Mystery']",[],,,"Tsujimura, Mizuki (Story)",1,"[0, 1, 0]"
Shinrei Tantei Yakumo,7.86,501,1094,5186,"4,092",52,Novel,12,Unknown,Finished,"Sep  24, 2004 to Jun  25, 2020","['Horror', 'Mystery', 'Supernatural']",['Super Power'],,,"Kaminaga, Manabu (Story), Suzuki, Yasushi (Art), Katou, Akatsuki (Art)",1,"[1, 0, 0]"
Shousetsu Tenki no Ko (Weathering with You),7.85,322,1150,17535,838,15,Novel,1,13,Finished,"Jul  18, 2019","['Drama', 'Fantasy', 'Romance', 'Slice of Life']",[],,,"Shinkai, Makoto (Story)",0,"[0, 0, 0]"
Another,7.84,4477,1181,1473,"14,004",412,Novel,1,21,Finished,"Oct  29, 2009","['Horror', 'Mystery', 'Supernatural', 'Suspense']",['School'],,,"Ayatsuji, Yukito (Story)",3,"[2, 0, 1]"
Quanzhi Gaoshou (The King's Avatar),7.80,193,1313,23450,508,41,Novel,24,608,Finished,"Mar  20, 2012 to Jun  1, 2016",['Action'],['Video Game'],,,Hudie Lan (Story),1,"[1, 0, 0]"
Kimi wa Tsukiyo ni Hikarikagayaku,7.80,438,1315,12659,"1,356",42,Novel,1,4,Finished,"Feb  25, 2017","['Drama', 'Romance']",[],,,"loundraw (Art), Sano, Tetsuya (Story)",1,"[1, 0, 0]"
Battle Royale,7.79,294,1351,18258,786,54,Novel,1,82,Finished,Apr  1999,"['Action', 'Suspense']",['Survival'],,,"Takami, Koushun (Story)",1,"[1, 0, 0]"
Villains Are Destined to Die,7.77,171,1422,24583,465,18,Novel,4,22,Finished,"Sep  18, 2020","['Drama', 'Fantasy', 'Romance']","['Reverse Harem', 'Villainess']",,,"Gwon, Gyeoeul (Story)",1,"[1, 0, 0]"
Mo Dao Zu Shi Fanwai Ji,7.75,239,1482,20701,637,9,Novel,1,4,Finished,"Feb  18, 2020","['Action', 'Adventure', 'Boys Love', 'Mystery', 'Supernatural']",['Historical'],,,Mo Xiang Tong Xiu (Story),1,"[0, 1, 0]"
Yojouhan Shinwa Taikei (The Tatami Galaxy),7.73,199,1596,16057,960,23,Novel,1,4,Finished,Dec  2004,"['Comedy', 'Mystery', 'Romance']","['Psychological', 'Time Travel']",,,"Morimi, Tomihiko (Story)",1,"[0, 1, 0]"
Summer Ghost,7.72,264,1617,14390,"1,132",9,Novel,1,Unknown,Finished,"Oct  29, 2021","['Drama', 'Supernatural']",[],,,Otsuichi (Story),1,"[1, 0, 0]"
Qian Qiu (Thousand Autumns: Qian Qiu),7.72,156,1622,22280,559,30,Novel,4,Unknown,Finished,"Oct  26, 2018 to Nov  9, 2018","['Action', 'Fantasy']","['Historical', 'Martial Arts']",,,"Meng, Xi Shi (Story)",2,"[1, 1, 0]"
Biblia Koshodou no Jiken Techou,7.66,294,1911,8577,"2,269",35,Novel,7,36,Finished,"Mar  25, 2011 to Feb  25, 2017","['Drama', 'Mystery']",[],,,"Mikami, En (Story), Koshijima, Hagu (Art)",0,"[0, 0, 0]"
Hibike! Euphonium (Sound! Euphonium),7.66,287,1914,10896,"1,662",37,Novel,10,66,Finished,"Dec  5, 2013 to Jun  22, 2019",['Drama'],"['Music', 'Performing Arts', 'School']",,,"Asada, Nikki (Art), Takeda, Ayano (Story)",0,"[0, 0, 0]"
Shousetsu Kotonoha no Niwa (The Garden of Words),7.64,123,2044,27612,368,19,Novel,1,11,Finished,"Aug  6, 2013 to Apr  11, 2014","['Drama', 'Romance']",[],,Da Vinci,"Shinkai, Makoto (Story)",0,"[0, 0, 0]"
Koisuru Kiseichuu,7.60,508,2283,10317,"1,792",38,Novel,1,9,Finished,"Sep  24, 2016","['Drama', 'Romance', 'Supernatural']",[],,,"Miaki, Sugaru (Story)",3,"[1, 1, 1]"
Mawaru  (Penguindrum),7.58,355,2405,7728,"2,577",19,Novel,3,24,Finished,"Jul  4, 2011 to Feb  29, 2012",['Mystery'],[],,,"Hoshino, Lily (Art), Ikuhara, Kunihiko (Story), Takahashi, Kei (Story)",0,"[0, 0, 0]"
Brave Story,7.57,214,2471,16089,958,10,Novel,2,70,Finished,"Mar  5, 2003","['Adventure', 'Fantasy']",['Isekai'],,,"Miyabe, Miyuki (Story)",0,"[0, 0, 0]"
Kemono no Souja,7.56,149,2529,15202,"1,046",16,Novel,4,Unknown,Finished,"Nov  21, 2006 to Aug  11, 2009","['Drama', 'Fantasy', 'Mystery']",[],,,"Uehashi, Nahoko (Story), Takemoto, Itoe (Art)",0,"[0, 0, 0]"
Arslan Senki,7.51,199,2839,9740,"1,923",41,Novel,16,Unknown,Finished,"Aug  1986 to Dec  14, 2017","['Action', 'Adventure', 'Fantasy']",['Historical'],,,"Amano, Yoshitaka (Art), Tanaka, Yoshiki (Story)",1,"[1, 0, 0]"
"Kimi wo Aishita Hitori no Boku e (To Me, The One Who Loved You)",7.50,176,2921,15823,983,10,Novel,1,11,Finished,"Jun  23, 2016","['Romance', 'Sci-Fi']",[],,,"Yomoji, Otono (Story)",0,"[0, 0, 0]"
Koukyuu no Karasu (Raven of the Inner Palace),7.46,133,3193,11123,"1,621",23,Novel,7,27,Finished,"Apr  20, 2018 to Apr  21, 2022",['Fantasy'],['Historical'],,,"Shirakawa, Kouko (Story)",1,"[1, 0, 0]"
Ring,7.46,346,3228,12000,"1,454",19,Novel,1,25,Finished,1991,['Horror'],[],,,"Suzuki, Koji (Story)",2,"[2, 0, 0]"
Summer Wars,7.43,302,3464,12408,"1,393",13,Novel,1,5,Finished,"Jul  25, 2009","['Comedy', 'Romance', 'Sci-Fi']",['Strategy Game'],,,"Iwai, Kyohei (Story)",0,"[0, 0, 0]"
The Legendary Moonlight Sculptor,7.42,155,3578,25934,420,58,Novel,58,545,Finished,"Jan  15, 2007 to Dec  31, 2020","['Action', 'Adventure', 'Fantasy']",['Video Game'],,,"Nam, Heesung (Story)",2,"[2, 0, 0]"
Shousetsu  no Tojimari (Suzume),7.41,186,3726,16573,917,12,Novel,1,24,Finished,"Aug  24, 2022",['Fantasy'],['Mythology'],,,"Shinkai, Makoto (Story)",0,"[0, 0, 0]"
Boku ga Aishita Subete no Kimi e (To Every You I've Loved Before),7.35,186,4241,13408,"1,254",16,Novel,1,10,Finished,"Jun  23, 2016","['Romance', 'Sci-Fi']",[],,,"Yomoji, Otono (Story)",0,"[0, 0, 0]"
Bishounen Series (Pretty Boy Detective Club),7.34,193,4376,11435,"1,562",33,Novel,12,Unknown,Finished,"Oct  20, 2015 to May  14, 2021",['Mystery'],"['School', 'Visual Arts']",,,"NISIO, ISIN (Story), Kinako (Art)",0,"[0, 0, 0]"
Murazukuri Game no NPC ga Namami no Ningen to shika Omoenai (The NPCs in this Village Sim Game Must Be Real!),7.33,170,4458,23175,518,20,Novel,3,19,Finished,"Oct  4, 2019 to Nov  10, 2020",['Fantasy'],[],,,Hiru Kuma (Story),1,"[1, 0, 0]"
Rasen (Spiral),7.31,229,4728,17532,838,5,Novel,1,47,Finished,1995,['Horror'],[],,,"Suzuki, Koji (Story)",0,"[0, 0, 0]"
Penguin Highway,7.30,137,4795,19111,730,10,Novel,1,4,Finished,"May  29, 2010","['Fantasy', 'Sci-Fi']",[],,,"Morimi, Tomihiko (Story), Kumaori, Jun (Art)",0,"[0, 0, 0]"
 no  (Mirai),7.28,128,5016,23502,506,3,Novel,1,15,Finished,"Jun  15, 2018","['Adventure', 'Drama', 'Fantasy']",['Time Travel'],,,"Hosoda, Mamoru (Story)",0,"[0, 0, 0]"
Youkai Apartment no Yuuga na Nichijou,7.23,119,5587,20226,662,7,Novel,10,Unknown,Finished,"Oct  11, 2003 to Mar  11, 2009","['Mystery', 'Slice of Life', 'Supernatural']",[],,,"Kouzuki, Hinowa (Story)",0,"[0, 0, 0]"
Konyaku Haki kara Hajimaru Akuyaku Reijou no Kangoku Slow Life (Prison Life Is Easy for a Villainess),7.23,247,5598,19520,704,10,Novel,2,46,Finished,"Jan  18, 2019","['Comedy', 'Fantasy']",['Villainess'],,,"Nabeshima, Tetsuhiro (Art), Yamazaki, Hibiki (Story)",0,"[0, 0, 0]"
Kakushigoto (I Have a Secret),7.14,220,6797,18315,782,7,Novel,1,7,Finished,"Aug  22, 2015 to May  21, 2016",['Drama'],['School'],,Shousetsu Shinchou,"Sumino, Yoru (Story)",1,"[0, 1, 0]"
Another 2001,7.09,108,7477,25119,446,3,Novel,1,23,Finished,"Oct  11, 2014 to Jan  11, 2020","['Horror', 'Mystery', 'Supernatural', 'Suspense']",[],,,"Ayatsuji, Yukito (Story)",0,"[0, 0, 0]"
Joou Heika no Isekai Strategy (Her Majesty's Swarm),7.04,695,8254,8747,"2,212",37,Novel,Unknown,Unknown,Publishing,"Oct  7, 2018 to ?","['Action', 'Fantasy']","['Isekai', 'Reincarnation', 'Video Game']",,,"Iwamoto, Eiri (Art), Dai-616 Tokubetsu Jouhou Daitai (Story)",1,"[0, 0, 1]"
Another: Episode S,7.02,141,8508,25370,438,8,Novel,1,11,Finished,"Jul  31, 2013","['Horror', 'Mystery', 'Supernatural', 'Suspense']",[],,,"Ayatsuji, Yukito (Story)",0,"[0, 0, 0]"
Juuni Taisen (Juni Taisen: Zodiac War),6.83,158,11495,22898,529,5,Novel,1,12,Finished,"May  19, 2015",['Action'],['Survival'],,,"NISIO, ISIN (Story)",1,"[1, 0, 0]"
"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka? (Fireworks, Should We See It from the Side or the Bottom?)",6.83,239,11507,18645,758,7,Novel,1,4,Finished,"Jun  17, 2017","['Romance', 'Sci-Fi']",[],,,"Iwai, Shunji (Story), Oone, Hitoshi (Story)",0,"[0, 0, 0]"
Sentou Yousei Yukikaze (Battle Fairy Yukikaze),,,21630,24354,473,5,Novel,Unknown,Unknown,Publishing,1979 to ?,"['Drama', 'Sci-Fi']","['Military', 'Psychological']",Seinen,SF Magazine,"Kambayashi, Chohei (Story)",0,"[0, 0, 0]"
Loop,,,21873,24876,453,0,Novel,1,43,Finished,1998,"['Horror', 'Mystery', 'Sci-Fi']",[],,,"Suzuki, Koji (Story)",1,"[1, 0, 0]"
Shin Honkaku Mahou Shoujo Risuka,,,22185,17441,845,3,Novel,4,13,Finished,"Oct  15, 2003 to Aug  7, 2020","['Action', 'Fantasy', 'Mystery']",['Psychological'],,Mephisto,"NISIO, ISIN (Story), Nishimura, Kinu (Art)",1,"[1, 0, 0]"
Colorful,,,23015,31473,274,1,Novel,1,17,Finished,Jul  1998,"['Drama', 'Slice of Life', 'Supernatural']",[],,,"Mori, Eto (Story)",1,"[1, 0, 0]"
Roxana,,,23037,40459,148,6,Novel,4,27,Finished,"Sep  9, 2020","['Drama', 'Fantasy', 'Romance']","['Psychological', 'Villainess']",,,Kin (Story),0,"[0, 0, 0]"
Hibana (Spark),,,23042,69232,25,0,Novel,1,Unknown,Finished,"Mar  11, 2015","['Comedy', 'Drama']","['Performing Arts', 'Showbiz']",,,"Matayoshi, Naoki (Story)",0,"[0, 0, 0]"
Gyakusatsu Kikan (Genocidal Organ),,,23079,33785,232,4,Novel,1,6,Finished,"Jun  22, 2007","['Action', 'Sci-Fi']","['Military', 'Psychological']",,,"Itou, Keikaku (Story)",0,"[0, 0, 0]"
Harmony,,,23082,37213,183,10,Novel,1,5,Finished,"Dec  16, 2008",['Sci-Fi'],['Psychological'],,,"Itou, Keikaku (Story)",0,"[0, 0, 0]"
Maou no Utsuwa (Caliber of the Lord),,,23106,62461,44,0,Novel,3,17,Finished,"Jan  31, 2017 to Mar  5, 2018","['Action', 'Adventure', 'Fantasy']",[],,,"Tsukino, Ayato (Story)",0,"[0, 0, 0]"
Shousetsu Koe no Katachi,,,23241,47089,100,0,Novel,2,27,Finished,"Mar  14, 2019 to Apr  25, 2019",['Drama'],[],Kids,,"Ooima, Yoshitoki (Art), Kurahashi, Youko (Story)",0,"[0, 0, 0]"
Tantei no Tantei (Detective versus Detectives),,,23248,67585,29,0,Novel,4,Unknown,Finished,"Nov  14, 2014 to Jul  15, 2015","['Action', 'Drama', 'Mystery']","['Detective', 'Psychological']",,,"Matsuoka, Keisuke (Story)",0,"[0, 0, 0]"
Kanojo ga Suki na Mono wa Homo de Atte Boku dewa Nai,,,23272,55666,63,1,Novel,1,9,Finished,"Feb  21, 2018",['Drama'],['School'],,,"Asahara, Naoto (Story)",0,"[0, 0, 0]"
Babylon,,,23419,35828,202,1,Novel,3,Unknown,Finished,"Oct  20, 2015 to Nov  22, 2017","['Mystery', 'Suspense']",['Psychological'],,,"Nozaki, Mado (Story)",0,"[0, 0, 0]"
Cross Road: In Their Cases,,,23443,41294,141,0,Novel,1,8,Finished,"Sep  29, 2014",['Slice of Life'],['School'],,,"Shinkai, Makoto (Story), Kiriyama, Naruto (Story)",0,"[0, 0, 0]"
Taiyou no Tou (Tower of the Sun),,,23643,59276,52,2,Novel,1,Unknown,Finished,"Dec  19, 2003","['Drama', 'Fantasy', 'Romance']",[],,,"Morimi, Tomihiko (Story)",0,"[0, 0, 0]"
D Genesis: Dungeon ga Dekite 3-nen (D-Genesis: Three Years after the Dungeons Appeared),,,23862,39287,160,5,Novel,Unknown,Unknown,Publishing,"Feb  5, 2020 to ?","['Adventure', 'Fantasy']",[],,,"Kono, Tsuranori (Story)",0,"[0, 0, 0]"
